path	extension	pdb_md5	local_md5	status
renderer/tr_subview.cpp	.cpp	6DD72D65F389952162BBA0F495DE9382	748AB8AB5ABE5B94786BD44CC0E6A364	different
renderer/tr_trace.cpp	.cpp	AEAAC1EA76F9A64AFBE62EA283F79D52	500B6CF4FF3521567AE3F1027A7A85BE	different
renderer/tr_trisurf.cpp	.cpp	32B64007FFB8A2F4E222A4F27D2553CB	AF71B217F56FB490FBE9FDDE10DF4AE4	different
renderer/tr_turboshadow.cpp	.cpp	F68F40B0AC8A427A3884324502411667	7789284FCE3497A4D345F38C3D14D01F	different
renderer/vertexcache.cpp	.cpp	2F6063EFB8E37EACD92C3CAD94FB5E00	3B59B247F28F3BA346942A89901E0C36	different
renderer/vertexcache.h	.h	A9DB456946E010B7A6F99BCDBFACD13C	17BE44DE268569C6C880AD05752CFFC9	different
renderer/wglext.h	.h	39AD2E99AC244F9EF1CCB6E813A3E193	91085A100FCD767C7708589F4ADFC6CB	different
sdnet/demonware/logsubscriber.cpp	.cpp	19C3B81667DEF99536519370F9ADE6C8		missing
sdnet/demonware/logsubscriber.h	.h	8DB97635132AD4976366D10AC39E2833		missing
sdnet/demonware/profileinfo.cpp	.cpp	CFB825025175834F7838B2C958AFD429		missing
sdnet/demonware/profileinfo.h	.h	53AEB60D56F651CE6E23721932FA05F2		missing
sdnet/demonware/sdnet_demonware.cpp	.cpp	E9CB092A8F5CEAABA50D5ED260BA1426		missing
sdnet/demonware/sdnet_demonware.h	.h	396E80314907BA031930DA229926B9CA		missing
sdnet/demonware/sdnetaccount_anonymous_demonware.cpp	.cpp	16E89645E0D0B87F8D5A539C7BF83B09		missing
sdnet/demonware/sdnetaccount_anonymous_demonware.h	.h	BCB20A0420D828798E360EE9D9DE8A9B		missing
sdnet/demonware/sdnetaccount_auth_demonware.cpp	.cpp	D5ADD7A7A2C954E9CAF0C47E213A94B8		missing
sdnet/demonware/sdnetaccount_demonware.h	.h	285C5F92FF1C99DA634EAFB453F8D110		missing
sdnet/demonware/sdnetfriend_demonware.cpp	.cpp	2706E53B273F9B287A32576F350796C9		missing
sdnet/demonware/sdnetfriendsmanager_demonware.cpp	.cpp	870ADD87D775FD12BB8143CC63EB8980		missing
sdnet/demonware/sdnetfriendsmanager_demonware.h	.h	48DF79C0E33CE7AF68EBA289C7A6DA99		missing
sdnet/demonware/sdnetmessage_demonware.h	.h	1EBD564E1047C88CAE53EEAFFFB1AA7F		missing
sdnet/demonware/sdnetprofile_demonware.cpp	.cpp	3D113E836D3D18FE153DADF13DE90F90		missing
sdnet/demonware/sdnetprofile_demonware.h	.h	5AF0FD7E1AA81ED36A760A41AFCEE9A4		missing
sdnet/demonware/sdnetsession_demonware.cpp	.cpp	C783A2E75DC760D6BE053783AF765687		missing
sdnet/demonware/sdnetsession_demonware.h	.h	800BBD0D5FE24B91FE9B45D50046250C		missing
sdnet/demonware/sdnetsessionmanager_demonware.cpp	.cpp	7ACDADF06EA07CC9BD974707AD00D331		missing
sdnet/demonware/sdnetsessionmanager_demonware.h	.h	44C394E4594A082530464FD8C2031F81		missing
sdnet/demonware/sdnetstatsmanager_demonware.cpp	.cpp	044F819D3BD1E9B37DF4CA30F5ADAF0B		missing
sdnet/demonware/sdnetstatsmanager_demonware.h	.h	85DB9CAB901B5B39341F53331C7E08D0		missing
